# File Name: /shared/data/ui/current_run/DSF Protocol 25-95C X1M3 0-5 K increments_20250110_145235.eds,file_name,,,,,
# Comment: ,,,,,,
# Operator:,,,,,,
# Barcode: ,,,,,,
# Instrument Type:,,,,,,
# Block Type: 384-Well Block,,,,,,
# Instrument Name: ,,,,,,
# Instrument Serial Number: ,,,,,,
# Heated Cover Serial Number: ,,,,,,
# Block Serial Number: ,,,,,,
# Run Start Date/Time: ,,,,,,
# Run End Date/Time: ,,,,,,
# Run Duration: ,,,,,,
# Sample Volume: 20.0,,,,,,
# Cover Temperature: 105.0,,,,,,
# Passive Reference: ,,,,,,
# Melt Stage Number: 2,,,,,,
# Quantification Cycle Method: CT,,,,,,
# Post-read Stage/Step: ,,,,,,
# Analysis Date/Time: ,,,,,,
# Exported On: ,,,,,,
Well,Well Position,Reading Number,Target,Temperature,Fluorescence,Derivative
2,A2,67,DSF,57.870872497558594,14217.78516,388.9237060546875
2,A2,68,DSF,58.368873596191406,14287.98242,262.2565918
2,A2,69,DSF,58.86688232421875,14801.80371,106.64096069335938
2,A2,70,DSF,59.364891052246094,14238.91309,-47.35806274
2,A2,71,DSF,59.86289978027344,13446.36816,-184.8849487
2,A2,72,DSF,60.36090850830078,13748.24902,-275.9047241
2,A2,73,DSF,60.858909606933594,14786.32031,-285.6489258
2,A2,74,DSF,61.35691833496094,13887.51074,-195.2267456
2,A2,75,DSF,61.85492706298828,14514.35645,-18.84793091
2,A2,76,DSF,62.352935791015625,14223.34766,195.0697479248047
2,A2,77,DSF,62.85094451904297,14023.13086,380.2636413574219
2,A2,78,DSF,63.34894561767578,13729.6123,405.41851806640625
2,A2,79,DSF,63.846954345703125,12982.46777,404.1838073730469
2,A2,80,DSF,64.34496307373047,13095.44531,379.5541687011719
2,A2,81,DSF,64.84297180175781,13347.3418,227.4429473876953
2,A2,82,DSF,65.34098052978516,12870.83008,73.40005493164062
2,A2,83,DSF,65.83898162841797,13035.39551,-40.57125854
2,A2,84,DSF,66.33699035644531,13087.70898,-92.12963867
2,A2,85,DSF,66.83499908447266,13142.94727,-80.89019775
2,A2,86,DSF,67.33300781,12715.89355,-24.11499023
2,A2,87,DSF,67.83100891113281,13211.62305,51.920623779296875
2,A2,88,DSF,68.32901763916016,12844.3291,122.19989013671875
2,A2,89,DSF,68.82702637,12236.15625,171.36587524414062
